model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,4,23,0.092,0.4,0.42857142857142855,0.4086956521739131,0.391304347826087,-0.017391304347826153
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,5,37,0.148,0.5,0.5238095238095238,0.5135135135135136,0.3783783783783784,-0.1351351351351352
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,6,92,0.368,0.627906976744186,0.6666666666666666,0.6332996292551399,0.7065217391304348,0.07322210987529487
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,7,44,0.176,0.7164179104477612,0.7164179104477612,0.716417910447761,0.6590909090909091,-0.05732700135685198
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,8,14,0.056,0.8571428571428571,0.8571428571428571,0.8571428571428573,0.7142857142857143,-0.14285714285714302
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_width,9,16,0.064,1.0,1.0,1.0,0.75,-0.25
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,0,25,0.1,0.0,0.4,0.16145454545454543,0.52,0.3585454545454546
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,1,25,0.1,0.4,0.5,0.42,0.36,-0.06
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,2,25,0.1,0.5,0.5238095238095238,0.5114285714285713,0.32,-0.19142857142857134
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,3,25,0.1,0.5238095238095238,0.627906976744186,0.5904318936877077,0.56,-0.0304318936877076
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,4,25,0.1,0.627906976744186,0.627906976744186,0.627906976744186,0.76,0.13209302325581396
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,5,25,0.1,0.627906976744186,0.6363636363636364,0.6292600422832981,0.68,0.05073995771670192
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,held_out_crossfit,equal_mass,6,25,0.1,0.6363636363636364,0.6666666666666666,0.6448484848484849,0.8,0.15515151515151515
